Pays,Cas confirmés,Décès,Tests effectués,Population,Vaccinés
S. Korea,34571873,35934,15804065,51329899,N/A
Saint Helena,2166,0,0,6115,N/A
Saint Kitts and Nevis,6607,48,126958,53871,N/A
Saint Lucia,30215,410,210983,185113,N/A
Saint Martin,12324,63,112382,39730,N/A
Saint Pierre Miquelon,3452,2,25400,5759,N/A
Saint Vincent and the Grenadines,9674,124,114197,111551,N/A
Samoa,17006,31,187397,202239,N/A
San Marino,26185,128,196855,34085,N/A
Sao Tome and Principe,6778,80,29600,227679,N/A
Saudi Arabia,841469,9646,45481735,35844909,N/A
Senegal,89053,1971,1146543,17653671,N/A
Serbia,2615054,18057,13463733,8653016,N/A
Seychelles,51220,172,0,99426,N/A
Sierra Leone,7779,126,259958,8306436,N/A
Singapore,3006155,2024,24756666,5943546,N/A
Sint Maarten,11051,92,62056,43966,N/A
Slovakia,1877605,21224,7448789,5460193,N/A
Slovenia,1356546,7100,2847701,2078034,N/A
Solomon Islands,25954,199,0,721159,N/A
Somalia,27334,1361,400466,16841795,N/A
South Africa,4076463,102595,26795090,60756135,N/A
South Sudan,18819,147,410280,11618511,N/A
Spain,13914811,121760,471036328,46719142,N/A
Sri Lanka,672754,16897,6486117,21575842,N/A
St. Barth,5507,6,78646,9945,N/A
Sudan,63993,5046,562941,45992020,N/A
Suriname,82588,1408,242207,596831,N/A
Swaziland,75191,1427,1048704,1184817,N/A
Sweden,2754129,27407,19500873,10218971,N/A
Switzerland,4453053,14452,23833472,8773637,N/A
Syrian Arab Republic,57743,3165,146269,19364809,N/A
Taiwan,10241523,19005,30742304,23888595,N/A
Tajikistan,17786,125,0,9957464,N/A
Tanzania,43223,846,0,63298550,N/A
Thailand,4770149,34586,17273454,70078203,N/A
Timor-Leste,23460,138,278529,1369429,N/A
Togo,39572,290,815204,8680837,N/A
Tokelau,80,0,0,1378,N/A
Tonga,16950,13,535009,107749,N/A
Trinidad and Tobago,191496,4390,913289,1406585,N/A
Tunisia,1153361,29423,5013383,12046656,N/A
Turkey,17232066,102174,162743369,85561976,N/A
Turks and Caicos Islands,6752,40,616788,39741,N/A
Tuvalu,2943,1,0,12066,N/A
UAE,1067030,2349,200732262,10081785,N/A
UK,24910387,232112,522526476,68497907,N/A
USA,111820082,1219487,1186851502,334805269,N/A
Uganda,172149,3632,3012408,48432863,N/A
Ukraine,5557995,112418,32603805,43192122,N/A
Uruguay,1041111,7664,6114822,3496016,N/A
Uzbekistan,253662,1637,1377915,34382084,N/A
Vanuatu,12019,14,24976,321832,N/A
Venezuela,552695,5856,3359014,29266991,N/A
Vietnam,11625195,43206,85826548,98953541,N/A
Wallis and Futuna,3550,8,20508,10982,N/A
Western Sahara,10,1,0,626161,N/A
Yemen,11945,2159,329592,31154867,N/A
Zambia,349304,4069,4112961,19470234,N/A
Zimbabwe,266359,5740,2525756,15331428,N/A
